Epochs,loss,std_loss,iou,std_iou,dice_coef,std_dice,val_loss,std_val_loss,val_iou,std_val_iou,val_dice_coef,std_val_dice
274,0.18818968087434765,0.05797125827812185,0.6891272485256195,0.07404492921797279,0.8046254515647888,0.060496584224017054,0.2673689901828766,0.09267499724586285,0.5880279302597046,0.10907645504238554,0.7326310098171234,0.09267499724586285
275,0.17671824991703028,0.035076324078567936,0.7061954021453858,0.04370034634149411,0.8217171370983124,0.03198352846088373,0.2710814177989959,0.1240207626673796,0.5889997333288193,0.14211224863473543,0.7289185851812363,0.12402075546069624
276,0.1706318631768226,0.026778009779913434,0.7162304580211639,0.038186165056939905,0.8282882511615753,0.029773561111649725,0.25473535060882563,0.07942328994658898,0.6025598913431167,0.0973361141353662,0.7452646493911743,0.07942328994658897
277,0.17576666623353954,0.027286952669913146,0.7127902746200562,0.03491855562743325,0.8259414851665496,0.025526329042249635,0.27609489560127254,0.13502681031348027,0.5841391265392304,0.1515663226015708,0.7239051043987275,0.1350268103134803
278,0.16868260651826855,0.023044577367817193,0.714413297176361,0.03155772321178436,0.828386801481247,0.023281826426636384,0.32131080031394954,0.2166766885888967,0.5452995538711548,0.1951738757794331,0.6786892026662826,0.21667667978854033
279,0.1853662922978401,0.03087413421960939,0.6930908918380737,0.040753737539250136,0.809057641029358,0.031202173110943778,0.2914731979370117,0.12906711162856063,0.5649817585945129,0.14493044570002964,0.7085268020629882,0.12906711162856063
280,0.17578264176845546,0.034656371358949986,0.7060805082321167,0.04302907658251228,0.819511079788208,0.031696484424968155,0.2608154714107513,0.0810687154936123,0.5946720391511917,0.09566443870465335,0.7391845285892487,0.08106871549361229
281,0.17231848239898678,0.021013396018371138,0.7100810289382935,0.03308793826068495,0.8243031799793243,0.02374668354445374,0.2912121534347534,0.1425448717771989,0.5686701446771621,0.1553935151173909,0.7087878435850143,0.14254487843221963
282,0.16801308989524835,0.015759738779325298,0.7142231822013855,0.02384631540972323,0.8247051537036896,0.020139594782096187,0.28101550340652465,0.0909422917962725,0.5714197993278504,0.1045662615544796,0.7189844965934753,0.09094229179627247
283,0.17183268964290613,0.038661594646637085,0.7148908078670502,0.0508611966482456,0.8240919828414917,0.044772221289613424,0.3044206798076629,0.24735322226835502,0.5724017310887575,0.21252325093877056,0.6955793214961886,0.24735321830178758
